fips   For 0-4 total (not just related kids) poverty ratios     For 5-17 total (not just related kids) poverty ratios                   For 18-64 poverty ratios                                   For 65+ poverty ratios
     cps05 irspr05 irsnf05    fs05   cpsse   gvfse  fnlse   cps05 irspr05 irsnf05    fs05   cpsse   gvfse  fnlse   cps05 irspr05 irsnf05    fs05   cpsse   gvfse   fnlse   cps05 irspr05 irsnf05   SSI05   cpsse   gvfse   fnlse smpsize
01 33.0753 16.4169 14.6657 11.8464 7.29493 5.36830 4.9465 20.6558 23.1582 14.6657 11.8464 3.59249 2.99080 2.9840 14.1291 16.4169 14.6657 11.8464 1.54854 1.52852 1.49660 14.4744  7.7310 48.8461  5.8410 2.96647 2.69747 2.73314   902
02 12.8453 11.8695 10.9282  7.6478 3.36645 2.90186 3.1438 11.6152 15.1852 10.9282  7.6478 2.91581 2.19139 2.2385  9.4899 11.8695 10.9282  7.6478 1.51029 1.15230 1.12809  5.9523  8.4637 31.1243  6.7629 2.19020 2.07815 2.35919  1013
04 28.1156 12.8813 19.3337  9.0293 4.05364 4.25920 4.1332 18.5417 19.5926 19.3337  9.0293 2.14429 2.48928 2.6205 13.9529 12.8813 19.3337  9.0293 1.08212 1.25871 1.22700  7.7545  7.1625 43.2610  2.9492 2.09093 1.94198 2.07618  1060
05 20.4875 17.8278 15.5482 13.6780 4.43306 4.66193 5.1378 17.8520 25.5525 15.5482 13.6780 3.47793 2.97072 3.1681 12.4371 17.8278 15.5482 13.6780 1.35977 1.39095 1.44389 11.6742  8.3454 47.4378  5.0282 2.11612 2.51801 2.67954   858
06 21.5428 13.6193 16.1331  5.5186 1.39320 1.55885 1.5392 17.0768 19.0014 16.1331  5.5186 0.86833 1.01699 1.0291 11.5967 13.6193 16.1331  5.5186 0.42661 0.49554 0.49415  8.9321  7.0851 42.5496 10.5198 0.87005 0.80712 0.82264  6519
08 14.5829 11.7195 13.2016  5.3729 3.33781 2.77801 2.8725 14.5001 15.4452 13.2016  5.3729 2.23495 1.95801 1.8408 10.4222 11.7195 13.2016  5.3729 1.02810 0.94085 0.89865  9.7556  8.2012 33.9599  2.8847 2.06567 1.93995 1.78946  1589
09 13.4583  8.9714  9.8878  5.9651 2.32465 2.75576 2.5900 11.9048 10.6225  9.8878  5.9651 1.68226 1.71838 1.6122  8.6065  8.9714  9.8878  5.9651 0.82036 0.89142 0.81952  7.3776  7.0889 35.8143  2.6508 1.45224 1.40159 1.44175  1656
10 18.9595 11.4632 11.4757  7.6801 3.23203 3.79439 3.5951 11.7440 15.7007 11.4757  7.6801 1.76210 2.11390 2.1634  8.0447 11.4632 11.4757  7.6801 0.87407 0.95642 0.99169  6.1651  5.9612 35.6591  2.0992 1.49900 1.46454 1.70198  1164
11 34.7318 12.2487 26.5165 15.7846 5.44105 5.10345 5.1239 39.6679 22.5971 26.5165 15.7846 4.13787 3.89122 3.7158 15.9022 12.2487 26.5165 15.7846 1.38564 1.34328 1.36869 21.8635  4.4679 48.5441  5.9845 2.49819 2.62299 2.31598  1186
12 18.3053 15.6293 13.0510  7.0090 2.35542 2.30764 2.3393 14.6266 21.2454 13.0510  7.0090 1.42197 1.44492 1.4627  9.6086 15.6293 13.0510  7.0090 0.58309 0.62577 0.64994 10.1383  7.4233 43.3138  4.5929 0.99649 1.05395 1.03119  3453
