fips   For 0-4 total (not just related kids) poverty ratios     For 5-17 total (not just related kids) poverty ratios                   For 18-64 poverty ratios                                   For 65+ poverty ratios
     cps98 irspr98 irsnf98    fs98   cpsse    gvfse  fnlse    cps98 irspr98 irsnf98    fs98   cpsse    gvfse  fnlse    cps98 irspr98 irsnf98    fs98   cpsse    gvfse   fnlse    cps98 irspr98 irsnf98   SSI98   cpsse    gvfse   fnlse  smpsize
01 30.0431 16.6699 12.6955  9.3820  5.6332  6.06104 5.8908  21.6157 23.4257 12.6955  9.3820  4.1383  3.75482 3.7565  11.3425 16.6699 12.6955  9.3820  1.4145  1.57949 1.68324  13.4229  5.4894 54.2063  8.8908  2.0948  2.55230 2.77328   656
02 11.8260  9.9871 14.8003  5.5111  5.0972  4.26912 4.7761   9.7716 13.0702 14.8003  5.5111  2.7043  2.95087 3.5556   9.1999  9.9871 14.8003  5.5111  1.2210  1.42937 1.38806   2.8130  4.6411 35.2265  5.1767  1.9795  1.92409 2.97410   559
04 29.9611 13.8445 15.7443  5.5233  3.8742  4.63407 4.3254  24.3888 20.7462 15.7443  5.5233  2.4419  3.32029 3.1854  13.3147 13.8445 15.7443  5.5233  1.1641  1.36802 1.32774   9.6087  5.3062 42.8877  3.3866  2.3633  2.14772 1.97203   867
05 26.4217 18.1625 11.9338  9.9746  7.1287  5.88120 6.0698  13.5924 25.4514 11.9338  9.9746  2.3088  3.07714 3.6255  13.3081 18.1625 11.9338  9.9746  1.4419  1.65261 1.63184  16.9766  6.3575 51.5785  7.7613  2.6625  3.04820 2.87743   677
06 25.3507 14.2087 18.2332  6.2915  1.8666  1.97330 1.9243  22.6008 21.3692 18.2332  6.2915  1.5361  1.48030 1.5096  12.6681 14.2087 18.2332  6.2915  0.6334  0.61395 0.62024   9.4291  5.2154 45.3726 12.4262  1.0062  0.96097 0.96535  4525
08 15.5578 10.5933 10.9825  4.3939  4.5734  4.32603 4.2517  13.0011 13.9179 10.9825  4.3939  3.3797  2.86377 2.9055   8.2525 10.5933 10.9825  4.3939  0.9237  1.10506 1.12592   2.9409  6.2653 36.7993  3.4304  1.3211  1.40264 2.23323   779
09  6.8022  8.5427  8.8025  5.5597  3.3063  3.50693 4.4787  13.8361 11.0737  8.8025  5.5597  2.9770  3.55278 3.3657   9.5151  8.5427  8.8025  5.5597  1.8286  1.54868 1.29858   4.1801  5.1214 40.0611  2.5438  1.5160  1.74820 2.24738   540
10 16.8271 11.0397  9.5388  5.3230  7.0615  5.77650 5.7733  15.6133 15.3151  9.5388  5.3230  3.7831  4.19676 3.9351   7.9399 11.0397  9.5388  5.3230  1.4871  1.41435 1.41736   8.8649  4.5946 37.4255  2.6094  2.5681  2.67450 2.44283   503
11 43.5210 15.6261 18.0474 16.1155  9.7863  7.74923 7.1802  45.0235 26.2184 18.0474 16.1155  8.1134  6.25454 5.6534  16.3503 15.6261 18.0474 16.1155  2.1073  2.09051 1.97697  17.9602  3.9200 48.0469  7.3864  3.9565  3.62541 3.53732   528
12 24.9516 15.7692 12.2351  6.2770  3.4018  2.91063 2.8415  20.8612 22.3245 12.2351  6.2770  2.1630  1.94425 1.8847  11.2209 15.7692 12.2351  6.2770  0.7717  0.77155 0.77891   8.4696  5.3956 43.9071  4.8899  0.8370  1.05002 1.08167  2691
13 18.9883 14.1962 14.0051  7.9923  5.1478  4.54488 4.6856  24.3560 20.6308 14.0051  7.9923  5.2001  3.70735 3.3545   9.7808 14.1962 14.0051  7.9923  1.4833  1.29743 1.34291  10.9622  5.6445 50.1760  8.4199  3.0801  2.76067 3.08984   794
15 16.7223 12.5175 12.4904 10.2494  4.9828  5.43933 5.0985  14.4833 15.7496 12.4904 10.2494  3.6696  3.96961 3.7393   9.7970 12.5175 12.4904 10.2494  1.5305  1.66270 1.57235   7.9912  7.1301 37.4391  5.6481  2.8171  2.69276 2.72189   438
16 27.3087 14.1044 10.5337  4.6443  8.5307  5.74152 5.3348  17.3467 17.9551 10.5337  4.6443  4.9123  3.54601 3.4191  10.2642 14.1044 10.5337  4.6443  1.9376  1.42046 1.47926   7.5153  7.7089 40.1650  2.0981  2.0107  2.01558 2.19146   742
17 16.4137 11.3704 11.6233  6.9290  2.2797  2.63172 2.6548  12.6820 15.6196 11.6233  6.9290  1.6357  1.74790 1.9011   8.0028 11.3704 11.6233  6.9290  0.6917  0.72631 0.76217  11.6131  6.6598 39.3317  3.8570  1.7556  1.55927 1.37441  2061
18 10.1569 11.2319  8.3738  5.0623  3.1688  3.50642 4.3876  12.4888 14.4885  8.3738  5.0623  2.9470  2.96883 2.9902   8.4453 11.2319  8.3738  5.0623  1.1709  1.22268 1.21264   8.6023  9.1019 38.4929  1.9305  2.0048  2.24970 2.26925   668
19 18.2991 10.3185  7.7555  4.5549  5.3711  4.88786 4.6023  14.3649 12.4303  7.7555  4.5549  3.6215  3.22775 3.0055   7.0432 10.3185  7.7555  4.5549  0.9927  1.20015 1.29395   5.9729  7.5307 35.7638  1.9557  1.5081  1.84802 2.14248   647
20 12.2781 10.5375 10.8042  4.3299  3.3655  3.86471 4.4307  13.1002 13.4825 10.8042  4.3299  2.7807  3.13688 3.2058   8.0733 10.5375 10.8042  4.3299  1.0565  1.24485 1.31343   9.2663  7.5725 35.9963  2.0150  2.2803  2.44823 2.37861   665
21 24.5877 15.5710 13.2238 10.0717  5.5377  5.34173 5.3882  16.5451 21.5779 13.2238 10.0717  2.6477  3.14461 3.4107  11.4043 15.5710 13.2238 10.0717  1.4058  1.50017 1.58565  14.1694  7.0782 51.3436  8.0198  2.6632  2.83172 2.90651   651
22 27.7840 18.1576 15.0736 11.8890  6.4904  5.18033 5.3782  29.6290 25.5175 15.0736 11.8890  4.7110  4.20012 4.0325  15.2113 18.1576 15.0736 11.8890  1.5977  1.59193 1.59953  16.2767  5.3470 53.4831  9.5204  2.6319  3.17109 3.25263   689
23 19.4094 12.5092  9.2522  8.8130  5.6788  5.48799 5.3487  12.1728 15.5490  9.2522  8.8130  3.9652  3.33659 3.4738   7.4096 12.5092  9.2522  8.8130  1.1146  1.31175 1.45818  17.1376  6.3039 45.9553  3.7887  3.4003  3.23608 2.64197   550
24  3.9028  9.7553 11.5562  5.4786  2.3483  2.62158 4.5898   8.8098 13.0789 11.5562  5.4786  2.5428  2.82809 3.3960   6.4232  9.7553 11.5562  5.4786  1.2967  1.22865 1.32412   9.9272  4.4212 40.7444  4.1876  2.9242  2.79992 2.60782   550
25  9.8908  8.6783 11.0981  4.3328  3.1063  2.91390 3.3408  14.9949 11.2040 11.0981  4.3328  2.2596  2.50615 2.5462   6.9050  8.6783 11.0981  4.3328  0.7760  0.85431 0.91630   7.5878  4.9197 43.7578  5.8034  1.5162  1.56508 1.74456  1203
26 16.5165 11.2581 12.2658  7.1935  3.0367  2.94972 2.9945  15.1120 15.8323 12.2658  7.1935  1.8388  2.01691 2.0374   8.8512 11.2581 12.2658  7.1935  0.8179  0.81499 0.82704  10.1725  7.1350 39.3485  3.1424  1.6439  1.57010 1.48614  1665
27 22.8248  8.7834  7.5328  4.4320  4.4875  4.90768 3.8313  12.4643 10.7462  7.5328  4.4320  3.0451  3.13219 3.0514   7.9457  8.7834  7.5328  4.4320  1.0950  1.22350 1.15165  10.1662  6.7150 37.7789  2.5811  1.7932  2.47758 2.31784   681
28 27.4997 19.0537 14.5398 10.6803  5.3393  5.64821 5.9529  19.5088 26.8163 14.5398 10.6803  3.6277  3.85638 4.3630  15.2891 19.0537 14.5398 10.6803  1.6739  1.75349 1.77330  19.5416  5.0713 59.1532 13.2075  3.5869  3.53760 3.55514   589
29 18.3811 13.2750 10.1466  7.4392  6.2802  5.06831 5.2418  14.2530 17.6607 10.1466  7.4392  3.8159  3.47658 3.6245   7.8175 13.2750 10.1466  7.4392  1.5809  1.29962 1.43572   7.9311  6.9075 42.6978  3.4367  2.9309  2.40230 2.73168   579
30 24.0292 17.3226 11.3228  6.9293  4.6972  5.06706 5.3623  21.8678 21.7513 11.3228  6.9293  4.9878  3.82047 3.7116  14.9433 17.3226 11.3228  6.9293  1.8568  1.63342 1.57953   9.5848  9.7830 36.3879  2.2461  1.9562  2.28827 2.36288   718
31 19.9634 11.5684  6.3931  5.6718  4.3052  4.66359 4.3714  14.5875 14.0398  6.3931  5.6718  2.8454  3.07196 2.9426  10.7471 11.5684  6.3931  5.6718  1.1957  1.39778 1.26163  10.3577  8.7221 34.9730  1.9268  2.9197  2.72033 2.54606   688
32 14.6526 11.0264 11.3167  3.5699  4.6260  4.60488 5.0652  12.8037 15.2345 11.3167  3.5699  2.5213  2.86886 3.1345   9.3401 11.0264 11.3167  3.5699  1.3564  1.29476 1.29950   8.9606  6.2223 37.2407  3.3433  2.0620  2.26139 2.06557   731
33 17.2486  7.9386  5.9736  3.1644  5.2644  5.27082 4.4061  13.4781  8.8436  5.9736  3.1644  4.0930  3.50878 3.1307   7.6275  7.9386  5.9736  3.1644  1.3673  1.38953 1.24310   9.4161  6.0347 39.0178  1.4028  2.6504  2.80551 2.52204   500
34  8.5705  9.4150 10.3239  4.8363  2.1214  2.26941 2.6980  13.3246 12.2859 10.3239  4.8363  2.4169  2.18709 2.2156   7.3549  9.4150 10.3239  4.8363  0.8358  0.81193 0.81074   7.5383  5.8923 40.0014  4.4832  1.4881  1.41303 1.46308  1499
35 33.0028 20.7084 11.5316 10.3192  5.1141  4.80737 4.8130  23.9069 28.2987 11.5316 10.3192  3.7350  3.31380 3.2992  18.0324 20.7084 11.5316 10.3192  1.6888  1.57860 1.48741  16.1695  7.1224 43.9640  7.5359  2.1889  2.62750 2.41493   912
36 24.0855 13.3410 15.7469  8.5601  2.2783  2.32943 2.2463  24.3911 19.0414 15.7469  8.5601  1.8187  1.76395 1.6784  13.7644 13.3410 15.7469  8.5601  0.8101  0.72829 0.68411  14.7307  5.4629 48.0873  8.8648  1.6630  1.38904 1.28062  3287
37 20.8219 13.1265 10.4176  6.5091  3.0045  3.57871 3.5416  21.5664 18.5730 10.4176  6.5091  2.5208  2.73819 2.4662  11.6241 13.1265 10.4176  6.5091  1.1335  1.11742 1.03986  11.3720  5.3622 50.2202  6.7338  2.7156  2.05188 2.24328  1269
38 30.3345 13.3630  6.8992  5.2914  6.1974  5.64734 5.1231  17.0189 15.4495  6.8992  5.2914  2.4794  3.36855 3.1941  12.6184 13.3630  6.8992  5.2914  1.5515  1.59305 1.50100  14.4274  9.0178 34.7875  2.6466  3.1582  2.74482 2.55078   637
